date,country,distance_km,electricity_kwh,waste_kg,meals_per_day,total_emission_tonnes
2025-11-04 10:09:25,India,7300.0,3000.0,520.0,1095,4.9
2025-11-04 13:16:39,India,7300.0,3000.0,520.0,1095,4.9
2025-11-05 10:25:53,India,7300.0,3000.0,520.0,1095,4.9
2025-11-05 10:26:14,India,31108.95,10336.32,4018.04,1460,15.06
